ID,Spr_Einheit,T_ProzentBasis,T_absolut,T_P,M_ProzentBasis,M_absolut,M_P,W_ProzentBasis,W_absolut,W_P
1,Unterrichtssprache Deutsch,25879,15442,60%,13198,7249,55%,12681,8199,65%
2,Unterrichtssprache Französisch,2697,1924,71%,1375,929,68%,1322,996,75%
